rank,combo_id,COOLDOWN_S,SAME_LEVEL_POST_WIN_BLOCK_S,SAME_LEVEL_POST_SL_BLOCK_S,MIN_ENTRY_TICKS,MAX_SPREAD,n_trades,n_wins,win_rate,trades_per_day,gross_pnl,net_pnl,avg_hold_s,profit_factor,avg_mfe,avg_mae,max_dd,n_TP,n_BE,n_TRAIL,n_SL
128,140,540,600,900,10,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
129,45,540,600,900,30,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
130,94,540,600,900,30,2.5000,93,58,0.6237,6.0581,-18.7450,-72.1450,215.5699,0.7052,3.7268,-3.5539,95.8850,0,0,62,31
131,296,180,60,900,30,2.0000,109,69,0.6330,7.0799,-0.5150,-68.9450,220.0917,0.7430,3.7592,-3.4116,108.7600,0,0,76,33
132,303,180,180,900,30,2.0000,109,69,0.6330,7.0799,-0.5150,-68.9450,220.0917,0.7430,3.7592,-3.4116,108.7600,0,0,76,33
133,228,180,900,1200,30,2.5000,84,53,0.6310,5.4718,-29.0300,-79.3800,189.1905,0.6455,3.5589,-3.6005,94.9100,0,0,57,27
134,216,180,300,2700,30,2.5000,92,58,0.6304,5.9929,-21.4350,-75.7750,182.8804,0.6798,3.5995,-3.5771,90.8750,0,0,63,29
135,247,180,60,900,20,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
136,257,180,180,900,60,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
137,245,180,60,900,10,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
138,199,180,60,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
139,304,180,180,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
140,248,180,60,900,30,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
141,249,180,60,900,45,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
142,250,180,60,900,60,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
143,251,180,60,900,90,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
144,252,180,180,900,10,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
145,253,180,180,900,15,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
146,254,180,180,900,20,2.5000,109,68,0.6239,7.0799,-0.8550,-69.7250,220.1101,0.7399,3.7591,-3.4062,110.9300,0,0,76,33
