ts,o,h,l,c,spr
1779766020,4537.1900,4538.1250,4536.9950,4537.8850,0.5440
1779766080,4537.8300,4537.8900,4536.7150,4536.7400,0.5330
1779766140,4536.7600,4537.3200,4536.4650,4536.9050,0.5616
1779766200,4536.9750,4537.3400,4534.5900,4535.3150,0.5779
1779766260,4535.2950,4536.3300,4534.3950,4535.9800,0.5950
1779766320,4536.0100,4537.2200,4534.8500,4534.9665,0.5763
1779766380,4534.9765,4535.2600,4533.7415,4534.3150,0.6098
1779766440,4534.3050,4534.8950,4533.9500,4534.7900,0.5901
1779766500,4534.7450,4536.9450,4534.2300,4536.7850,0.5713
1779766560,4536.7800,4538.4300,4536.6950,4538.3950,0.5823
1779766620,4538.3600,4538.6950,4537.4350,4537.4600,0.5850
1779766680,4537.4450,4538.1285,4537.3200,4537.9300,0.5783
1779766740,4537.9350,4538.0500,4536.9850,4537.5600,0.5685
1779766800,4537.5900,4538.7200,4537.3350,4538.2900,0.5531
1779766860,4538.3000,4538.5350,4536.5750,4536.9500,0.5198
1779766920,4536.9550,4537.4150,4536.1000,4536.2850,0.5536
1779766980,4536.2750,4536.4400,4533.8815,4534.3250,0.5925
1779767040,4534.3050,4534.3050,4533.5550,4534.0100,0.5747
1779767100,4534.0250,4534.1400,4532.5400,4532.6050,0.5425
1779767160,4532.6100,4533.2950,4531.3050,4531.8750,0.5521
1779767220,4531.8450,4533.6500,4531.6950,4533.4850,0.5393
1779767280,4533.4900,4534.0250,4533.1500,4533.2650,0.5619
1779767340,4533.2900,4533.5150,4532.1850,4532.6950,0.5986
1779767400,4532.7100,4532.7300,4531.6750,4532.1900,0.5906
1779767460,4532.1700,4532.3835,4530.9450,4531.3050,0.5708
1779767520,4531.2550,4532.0250,4530.1100,4531.8100,0.5867
1779767580,4531.8300,4533.7350,4531.2650,4533.1550,0.5559
1779767640,4533.1650,4533.6750,4531.5550,4532.4450,0.5305
1779767700,4532.5000,4534.1650,4532.4200,4534.1300,0.5595
1779767760,4534.1400,4534.8600,4533.7800,4533.8150,0.5682
1779767820,4533.8500,4534.3650,4532.7050,4533.0800,0.5551
1779767880,4533.0850,4533.3650,4532.7600,4533.0900,0.5718
1779767940,4533.0750,4533.4300,4532.3400,4532.3850,0.5852
1779768000,4532.4000,4534.2750,4532.1400,4534.2750,0.5710
1779768060,4534.2500,4536.5135,4533.9000,4535.9385,0.5891
1779768120,4535.9335,4536.2500,4534.6050,4535.0350,0.5922
1779768180,4535.0535,4535.6400,4534.5250,4535.3800,0.5848
1779768240,4535.3450,4535.3685,4533.6750,4533.7800,0.5599
1779768300,4533.7650,4535.1750,4533.6600,4534.7600,0.5876
1779768360,4534.7400,4535.1400,4534.7400,4535.1350,0.6041
1779768420,4535.1200,4536.2650,4534.9550,4536.0300,0.6056
1779768480,4536.0400,4536.6050,4535.7450,4535.9700,0.6087
1779768540,4535.9850,4536.5800,4535.8150,4535.9150,0.6132
1779768600,4535.9100,4536.0350,4535.0700,4535.2950,0.5995
1779768660,4535.3300,4536.9150,4535.2350,4536.3900,0.5924
1779768720,4536.4300,4538.4635,4535.7800,4537.5000,0.5948
1779768780,4537.6800,4538.4685,4537.4150,4537.4500,0.6201
1779768840,4537.4600,4537.8185,4536.7950,4537.1750,0.5970
1779768900,4537.1900,4538.1935,4536.9500,4538.1585,0.5551
1779768960,4538.2000,4538.6650,4537.5200,4538.4985,0.5839
1779769020,4538.4685,4539.0635,4538.4100,4538.6950,0.5466
