Omega Sweep Harness S51 X3 -- pairwise 2-factor (490 combos/engine)
ticks: /Users/jo/Tick/duka_ticks/XAUUSD_2024-03_2026-04_combined.csv
n_ticks: 154265439
wall_time: 1235.3s (20.6 min)

========== HBG top-50 by score ==========
combo  min_range max_range sl_frac   tp_rr     trail_frac  trades   wr%  total_pnl   stddev_q      score
396    0.5000    3.0000    25.0000   80.0000   252.0000      262  17.9      -0.54     0.1527    -0.4647
132    0.6300    3.0000    50.0000   160.0000  200.0000      349  40.1      -0.54     0.1579    -0.4698
63     0.3969    3.0000    25.0000   80.0000   200.0000      265  21.1      -0.55     0.1359    -0.4860
50     0.2500    3.0000    31.4980   80.0000   200.0000      304  21.7      -0.58     0.2005    -0.4865
478    0.5000    3.0000    50.0000   127.0000  159.0000      354  38.7      -0.58     0.1707    -0.4934
394    0.5000    3.0000    25.0000   80.0000   159.0000      262  24.4      -0.57     0.1444    -0.4949
111    0.3150    3.0000    50.0000   160.0000  200.0000      361  40.2      -0.56     0.1145    -0.4989
392    0.5000    3.0000    25.0000   80.0000   100.0000      262  32.8      -0.55     0.0984    -0.4989
474    0.5000    3.0000    50.0000   101.0000  317.0000      354  20.1      -0.61     0.2075    -0.5032
361    0.5000    3.0000    39.6850   101.0000  200.0000      324  27.5      -0.59     0.1790    -0.5034
384    0.5000    3.0000    79.3701   160.0000  200.0000      382  40.3      -0.57     0.1143    -0.5097
393    0.5000    3.0000    25.0000   80.0000   126.0000      262  28.2      -0.57     0.1181    -0.5112

========== VWAPStretch top-50 by score ==========
combo  sl_ticks  tp_ticks  cooldown_sec sigma_entry vol_window  trades   wr%  total_pnl   stddev_q      score
147    20.0000   88.0000   300.0000  2.0000    20.0000      6807   0.6     -13.20     2.2009    -4.1249
148    20.0000   88.0000   300.0000  2.0000    25.0000      7293   0.4     -14.27     2.2846    -4.3453
392    40.0000   88.0000   150.0000  2.0000    20.0000     10409   1.4     -39.77     8.1067    -4.3668
154    25.0000   88.0000   300.0000  2.0000    20.0000      6807   0.6     -16.55     2.7698    -4.3913
189    80.0000   88.0000   300.0000  2.0000    20.0000      6807  16.1     -35.99     7.1723    -4.4042
399    40.0000   88.0000   189.0000  2.0000    20.0000      9071   1.4     -34.68     6.7682    -4.4649
393    40.0000   88.0000   150.0000  2.0000    25.0000     11230   1.3     -43.06     8.4727    -4.5461
483    40.0000   88.0000   300.0000  4.0000    20.0000      6573   1.3     -25.17     4.5304    -4.5504
182    63.0000   88.0000   300.0000  2.0000    20.0000      6807   7.2     -35.52     6.7789    -4.5656
406    40.0000   88.0000   238.0000  2.0000    20.0000      7849   1.5     -29.86     5.4923    -4.5993
476    40.0000   88.0000   300.0000  3.1748    20.0000      6665   1.3     -25.53     4.5454    -4.6044
190    80.0000   88.0000   300.0000  2.0000    25.0000      7293  15.9     -38.86     7.4359    -4.6060
161    32.0000   88.0000   300.0000  2.0000    20.0000      6807   0.8     -21.10     3.5695    -4.6173
155    25.0000   88.0000   300.0000  2.0000    25.0000      7293   0.5     -17.86     2.8615    -4.6250
149    20.0000   88.0000   300.0000  2.0000    32.0000      7879   0.3     -15.50     2.3324    -4.6509
469    40.0000   88.0000   300.0000  2.5198    20.0000      6743   1.4     -25.76     4.5168    -4.6687
175    50.0000   88.0000   300.0000  2.0000    20.0000      6807   3.0     -31.18     5.6749    -4.6710
294    40.0000   44.0000   300.0000  2.0000    20.0000      6807   2.8     -25.62     4.4518    -4.7000
322    40.0000   111.0000  300.0000  2.0000    20.0000      6807   1.1     -26.14     4.5589    -4.7025
