event_ts_unix,event_ts_utc,event_utc_weekday,symbol,side,entry_px,tp,sl,verdict,reason
1773737177,"2026-03-17T08:46:17Z","Tue","EURUSD","LONG",1.1512,1.1521,1.1507,"BLOCKED","shouldTrade"
1773737196,"2026-03-17T08:46:36Z","Tue","NAS100","SHORT",24561.4500,24266.7126,24659.6958,"BLOCKED","min_breakout_gate"
1773737217,"2026-03-17T08:46:57Z","Tue","ESTX50","SHORT",5736.0000,5667.1680,5758.9440,"BLOCKED","min_breakout_gate"
1773737226,"2026-03-17T08:47:06Z","Tue","EURUSD","SHORT",1.1509,1.1500,1.1514,"BLOCKED","momentum_gate"
1773737295,"2026-03-17T08:48:15Z","Tue","NAS100","SHORT",24552.5000,24257.8700,24650.7100,"BLOCKED","min_breakout_gate"
1773737305,"2026-03-17T08:48:25Z","Tue","USTEC.F","SHORT",24568.4250,24273.6039,24666.6987,"BLOCKED","range_break_gate"
1773737319,"2026-03-17T08:48:39Z","Tue","UK100","LONG",10346.7000,10470.8604,10305.3132,"BLOCKED","min_breakout_gate"
1773737319,"2026-03-17T08:48:39Z","Tue","ESTX50","LONG",5738.4000,5807.2608,5715.4464,"BLOCKED","min_breakout_gate"
1773737463,"2026-03-17T08:51:03Z","Tue","XAGUSD","SHORT",80.8920,80.2449,81.2156,"BLOCKED","min_breakout_gate"
1773737473,"2026-03-17T08:51:13Z","Tue","UK100","SHORT",10337.2500,10213.2030,10378.5990,"BLOCKED","min_breakout_gate"
1773737475,"2026-03-17T08:51:15Z","Tue","DJ30.F","SHORT",46823.9500,46262.0626,47011.2458,"BLOCKED","min_breakout_gate"
1773737477,"2026-03-17T08:51:17Z","Tue","US500.F","SHORT",6676.9950,6596.8711,6703.7030,"BLOCKED","min_breakout_gate"
1773737478,"2026-03-17T08:51:18Z","Tue","USOIL.F","LONG",97.4855,98.9478,96.9981,"BLOCKED","min_breakout_gate"
1773737558,"2026-03-17T08:52:38Z","Tue","NAS100","SHORT",24538.9000,24244.4332,24637.0556,"BLOCKED","min_breakout_gate"
1773737558,"2026-03-17T08:52:38Z","Tue","USTEC.F","SHORT",24553.9250,24259.2779,24652.1407,"BLOCKED","min_breakout_gate"
1773737714,"2026-03-17T08:55:14Z","Tue","GOLD.F","LONG",5028.8450,5069.0758,5008.7296,"BLOCKED","can_enter"
1773737741,"2026-03-17T08:55:41Z","Tue","EURUSD","SHORT",1.1511,1.1502,1.1516,"BLOCKED","momentum_gate"
1773737767,"2026-03-17T08:56:07Z","Tue","NAS100","LONG",24537.5000,24831.9500,24439.3500,"BLOCKED","min_breakout_gate"
1773737796,"2026-03-17T08:56:36Z","Tue","USTEC.F","SHORT",24544.5450,24250.0105,24642.7232,"BLOCKED","min_breakout_gate"
