entry_ts_unix,entry_ts_utc,entry_utc_weekday,exit_ts_unix,exit_ts_utc,exit_utc_weekday,symbol,side,entry_px,exit_px,tp,sl,pnl,hold_sec,verdict,reason,exit_reason
1773736267,"2026-03-17T08:31:07Z","Tue",1773736867,"2026-03-17T08:41:07Z","Tue","ESTX50","LONG",5726.1000,5736.0000,5794.8132,5703.1956,9.9000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736277,"2026-03-17T08:31:17Z","Tue",1773736877,"2026-03-17T08:41:17Z","Tue","NAS100","SHORT",24529.7000,24563.8500,24235.3436,24627.8188,-34.1500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736279,"2026-03-17T08:31:19Z","Tue",1773736879,"2026-03-17T08:41:19Z","Tue","ESTX50","SHORT",5722.9500,5736.9500,5654.2746,5745.8418,-14.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736280,"2026-03-17T08:31:20Z","Tue",1773736880,"2026-03-17T08:41:20Z","Tue","USTEC.F","SHORT",24544.4250,24579.0450,24249.8919,24642.6027,-34.6200,600,"BLOCKED","vol_gate","TIMEOUT"
1773736335,"2026-03-17T08:32:15Z","Tue",1773736935,"2026-03-17T08:42:15Z","Tue","UK100","LONG",10331.3000,10342.9500,10455.2756,10289.9748,11.6500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736335,"2026-03-17T08:32:15Z","Tue",1773736935,"2026-03-17T08:42:15Z","Tue","ESTX50","LONG",5728.0500,5737.9000,5796.7866,5705.1378,9.8500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736396,"2026-03-17T08:33:16Z","Tue",1773736996,"2026-03-17T08:43:16Z","Tue","USOIL.F","SHORT",97.3805,96.9705,95.9198,97.8674,410.0000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773736480,"2026-03-17T08:34:40Z","Tue",1773737080,"2026-03-17T08:44:40Z","Tue","NAS100","SHORT",24535.3000,24561.5000,24240.8764,24633.4412,-26.2000,600,"BLOCKED","min_breakout_gate","TIMEOUT"
1773737074,"2026-03-17T08:44:34Z","Tue",1773737143,"2026-03-17T08:45:43Z","Tue","XAGUSD","LONG",81.1910,80.8662,81.8405,80.8662,-1623.8200,69,"BLOCKED","momentum_gate","SL_HIT"
1773736665,"2026-03-17T08:37:45Z","Tue",1773737265,"2026-03-17T08:47:45Z","Tue","NAS100","LONG",24522.5000,24554.7500,24816.7700,24424.4100,32.2500,600,"BLOCKED","min_breakout_gate","TIMEOUT"
