ts_unix,symbol,side,engine,entry_px,exit_px,pnl,mfe,mae,hold_sec,exit_reason,spread_at_entry,latency_ms,regime
1776959112,XAUUSD,SHORT,CandleFlowEngine,4726.59,4725.35,0.48,0.675,0,4,PARTIAL_TP,0.22,0,CANDLE_FLOW
1776959112,XAUUSD,SHORT,CandleFlowEngine,4726.59,4723.38,1.465,2.04,0,52,IMB_EXIT,0.22,0,CANDLE_FLOW
1776960134,XAUUSD,SHORT,CompBreakout,4717.93,4719.51,-1.86,2,0,10,REENTER_COMP,0.22,0,CBE
1776960144,XAUUSD,LONG,CandleFlowEngine,4719.52,4720.29,0.71,1.05,0,87,IMB_EXIT,0,0,CANDLE_FLOW
1776960867,XAUUSD,SHORT,CompBreakout,4718.06,4719.58,-1.8,0,0,5,REENTER_COMP,0.22,0,CBE
1776961676,XAUUSD,LONG,DomPersistEngine,4725.42,4724.35,-1.34,0,0,8,IMM_REVERSAL,0.21,0,DOM_PERSIST
1776961920,XAUUSD,LONG,CandleFlowEngine,4725.95,4725.35,-0.88,0,0,20,IMB_EXIT,0.22,0,CANDLE_FLOW
1776962138,XAUUSD,LONG,CandleFlowEngine,4729.56,4728.76,-1.08,0,0,9,SL_HIT,0.22,0,CANDLE_FLOW
1776962667,XAUUSD,LONG,CandleFlowEngine,4734.29,4733.04,-1.53,0.31,0,5,SL_HIT,0.22,0,CANDLE_FLOW
1776962705,XAUUSD,LONG,XAUUSD_BRACKET,4734.79,4729.34,-5.73,2.45,534,997,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776963931,XAUUSD,SHORT,XAUUSD_BRACKET,4721.41,4715.24,5.885,15.42,265,408,TRAIL_HIT,0.22,0,NEUTRAL
1776964562,XAUUSD,SHORT,XAUUSD_BRACKET,4713.39,4712.96,0.15,8.71,460,605,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776965291,XAUUSD,SHORT,XAUUSD_BRACKET,4713.39,4713.39,-0.28,10.65,19,414,BE_HIT,0.22,0,NEUTRAL
1776965818,XAUUSD,LONG,CandleFlowEngine,4701.88,4703.16,0.61,0.695,0,22,PARTIAL_TP,0,0,CANDLE_FLOW
1776965818,XAUUSD,LONG,CandleFlowEngine,4701.88,4702.55,0.305,0.765,0,27,IMB_EXIT,0,0,CANDLE_FLOW
1776965910,XAUUSD,SHORT,XAUUSD_BRACKET,4699.04,4677.05,21.71,34.48,376,545,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776966467,XAUUSD,LONG,HybridBracketGold,4679.22,4679.37,0.09,0.26,0,0,TRAIL_HIT,0,0,COMPRESSION
1776966182,XAUUSD,SHORT,MacroCrash,4679.3,4686.03,-6.79,14.74,0,466,SL_HIT,0,0,EXPANSION
1776966586,XAUUSD,SHORT,XAUUSD_BRACKET,4681.3,4689.69,-8.67,2.51,828,207,REGIME_FLIP_EXIT,0.22,0,NEUTRAL
1776966793,XAUUSD,SHORT,PullbackCont,4689.51,4697.53,-8.08,0.63,0,6,SL_HIT,0,0,PULLBACK
1776966800,XAUUSD,LONG,HybridBracketGold,4697.42,4697.48,-5.09315e-13,0.17,0,0,TRAIL_HIT,0,0,COMPRESSION
