symbol,date,open,high,close,best_pct,intraday_pct,vs_prevclose_pct
AEHL,2026-05-12,1.2300,2.5300,2.1100,106,106,0
MEHA,2026-05-22,0.1200,0.1580,0.1060,105,32,105
DBGI,2026-06-03,0.6300,1.2900,0.9310,105,105,84
SUGP,2026-06-05,0.7000,1.4300,0.9960,104,104,100
AKAN,2026-05-21,14.5200,29.4300,23.4600,103,103,103
HXHX,2026-06-10,0.5890,1.0300,0.8800,103,75,103
EEIQ,2026-05-29,2.8800,5.3600,3.2200,102,86,102
OPTU,2026-06-01,1.1900,1.3200,1.1600,101,11,101
CNET,2026-06-10,0.7600,1.5000,1.0800,100,97,100
LXEH,2026-06-08,1.2300,2.4500,1.2100,99,99,88
CISS,2026-05-18,4.8850,6.0600,3.1700,99,24,99
IPHA,2026-05-14,1.7000,2.6200,2.1700,98,54,98
MSS,2026-06-09,1.0200,1.9200,1.0100,98,88,98
VVOS,2026-06-05,0.7250,1.3600,0.8650,96,88,96
BCDA,2026-06-05,1.2000,1.8000,1.0300,96,50,96
LZMH,2026-05-15,1.6400,3.2000,2.0200,95,95,90
RCT,2026-05-27,0.6000,1.1700,0.7500,95,95,94
HPAI,2026-06-09,0.8560,1.6400,0.9530,94,92,94
REPL,2026-05-29,7.9300,9.0660,8.6900,94,14,94
BWEN,2026-05-12,2.3800,4.6000,4.4100,93,93,0
RAY,2026-06-10,3.2500,5.9900,3.3000,93,84,93
CLIK,2026-06-08,1.8100,3.2800,1.8400,93,81,93
ONEG,2026-06-11,1.0400,2.0000,1.2400,92,92,89
JLHL,2026-06-03,22.2300,42.4500,34.4400,91,91,90
PLSM,2026-05-13,3.8200,7.1500,4.6200,91,87,91
LIMN,2026-05-21,0.3070,0.3580,0.2460,90,17,90
CMND,2026-05-29,3.4900,4.6600,3.5800,90,34,90
CPSH,2026-05-26,7.0700,11.4000,11.1200,90,61,90
BNAI,2026-06-05,16.3100,30.9000,22.1700,89,89,89
ORGN,2026-05-15,1.2300,2.3300,1.4300,89,89,89
MTVA,2026-05-19,1.7950,2.1000,1.8800,89,17,89
VIDA,2026-05-20,2.7500,4.3300,4.1500,89,57,89
HTCO,2026-06-03,3.3600,5.5000,3.0700,88,64,88
TOVX,2026-06-11,0.3800,0.4500,0.3100,87,18,87
YXT,2026-06-05,0.4000,0.7500,0.5430,87,87,82
KIDZ,2026-05-22,4.4100,6.8800,4.5800,87,56,87
TOPS,2026-05-15,1.0600,1.7800,1.0200,87,68,87
